Trial,Method,Piece,Destination
1,Ray,Pawn,e5
2,Ray,Knight,f2
3,Ray,Queen,c5
4,Ray,Rook,d8
5,Voice,Pawn,e5
6,Voice,Knight,f2
7,Voice,Queen,c5
8,Voice,Rook,d8
9,Pinch,Pawn,e5
10,Pinch,Knight,f2
11,Pinch,Queen,c5
12,Pinch,Rook,d8
