Trial,Method,Piece,Destination
1,Voice,Pawn,0.05
2,Voice,Knight,0.05
3,Voice,King,0.15
4,Voice,Bishop,0.15
5,Pinch,Pawn,0.05
6,Pinch,Knight,0.05
7,Pinch,King,0.15
8,Pinch,Bishop,0.15
9,Ray,Pawn,0.05
10,Ray,Knight,0.05
11,Ray,King,0.15
12,Ray,Bishop,0.15
