Trial,Method,Piece,Destination,Time,Distance,Size,IndexOfDifficulty
1,Ray,White Pawn e2,e4,50.251,0.1031,0.0600,1.4425
2,Ray,White Knight c1,b3,27.935,0.1111,0.0600,1.5120
3,Ray,White Queen e1,e5,17.361,0.2305,0.0600,2.2754
4,Ray,White Rook h1,h6,15.100,0.2890,0.0600,2.5403
5,Voice,White Pawn e2,e4,26.171,0.2855,0.0600,2.5257
6,Voice,White Knight c1,b3,5.432,0.2897,0.0600,2.5433
7,Voice,White Queen e1,e5,5.248,0.3592,0.0600,2.8045
8,Voice,White Rook h1,h6,9.314,0.3980,0.0600,2.9322
9,Pinch,White Pawn e2,e4,176.962,0.1181,0.0600,1.5697
10,Pinch,White Knight c1,b3,21.984,0.2134,0.0600,2.1877
11,Pinch,White Queen e1,e5,108.050,0.2397,0.0600,2.3206
12,Pinch,White Rook h1,h6,12.253,0.3104,0.0600,2.6262
